Modelo,Fold,MAE,RMSE,R2,RMSLE,WAPE_%,BIAS_%
Modelo base lag_7,1,639.849390837585,1320.3384438928542,0.8592879527581948,0.6873667288975633,18.25927276798416,-0.9265179990083514
Modelo base lag_7,2,628.9331973341837,1726.4255205914774,0.7567308109969452,0.6853339592698836,18.255943034542554,0.10766396949520372
Modelo base lag_7,3,453.07626942176876,835.1515524916297,0.930559747845363,0.17818829490962243,13.757738200875561,0.4820270121488255
Modelo base lag_7,4,747.1662100676369,1604.7508719873838,0.8333486604095097,0.9804845672992278,19.214526198024835,-0.8166034141605726
Modelo base lag_7,5,584.3685529178082,1148.3805927864137,0.899890824749241,0.22755244752903142,15.968173530922847,1.168027395620459
HistGradientBoosting,1,468.53078035025976,1018.8887933598155,0.9162057312481393,0.28975509418387185,13.370382844958304,0.8501173399996562
HistGradientBoosting,2,485.6452937214341,1256.3944179944406,0.8711621676975696,0.19398965440495897,14.09674804057335,1.1054796001398115
HistGradientBoosting,3,266.2170822875024,474.8173666142645,0.9775542617684793,0.1258831648482995,8.083727111522897,-0.5000678503234545
HistGradientBoosting,4,541.0981757700882,1191.0264817935354,0.9082013268342879,0.29296230234245585,13.915170324815183,-6.114006090370009
HistGradientBoosting,5,339.3434777182995,677.129998485218,0.9651946261022174,0.14654495239722565,9.27273637798713,-0.4556882302807526
LightGBM,1,455.27091682987515,1012.861117655433,0.9171942408051693,0.2685925122138115,12.99198838471195,0.67100230323816
LightGBM,2,813.895328688295,1853.8106244531746,0.7195069231481988,0.2675562644090013,23.62480915237612,10.55690543668292
LightGBM,3,283.6538701819817,506.9849816089903,0.9744099642546229,0.13612974231935132,8.613198150080265,-4.29916201230434
LightGBM,4,506.97770636418664,1106.785104543452,0.9207279335258198,0.262638359538494,13.037710069714443,-4.68357485884401
LightGBM,5,335.55283123915285,673.0915591796705,0.9656085502776925,0.14564129652997126,9.16915499861419,0.31864945889923807
XGBoost,1,432.7887601934484,951.686541101871,0.9268947444952127,0.2734150140362165,12.350418921154766,1.0038762207175482
XGBoost,2,491.58168292893555,1273.8823515251759,0.8675505819130434,0.19497578942172308,14.269062657868764,-1.2757687534791773
XGBoost,3,275.6590097923094,484.3792584038317,0.976641132695995,0.12577578532739286,8.370432850688099,-4.526225624529151
XGBoost,4,522.5591612994297,1137.820606955586,0.9162198452439829,0.2919109878031129,13.438411105203546,-6.887092776417607
XGBoost,5,337.28923573243776,686.6755095934417,0.9642064056859466,0.14551896494635572,9.216603151205911,0.18352201346544716
CatBoost,1,445.93777876655463,1012.5611300754948,0.917243284094982,0.40219621574991593,12.72565021807504,-3.6991213966187515
CatBoost,2,547.8185735997185,1348.6532823794423,0.8515459534004297,0.20883588251261748,15.901441862651142,-3.308805424269097
CatBoost,3,271.9657155390461,494.84029573278707,0.9756212844980565,0.11901115252247559,8.258285340733446,-0.7113294995881205
CatBoost,4,498.1931297752138,1107.7924468807114,0.9205835686476341,0.33589061200323034,12.811801195981925,-5.177620440919341
CatBoost,5,348.2260621856064,702.56452498649,0.962530782078323,0.14938122555468145,9.51545760155199,0.1667536802518951
