Modelo,MAE_promedio,MAE_std,RMSE_promedio,RMSE_std,R2_promedio,R2_std,RMSLE_promedio,RMSLE_std,WAPE_promedio,WAPE_std,BIAS_promedio
XGBoost,411.97556998931213,103.87408950208103,906.8888535159813,322.88883920946284,0.930302542006836,0.04314070261086615,0.2063193083069602,0.07439822846295857,11.528985737224216,2.605390988112942,-2.3003377840485877
HistGradientBoosting,420.1669619695168,113.45024282617538,923.6514116494549,336.712897886404,0.9276636227301387,0.04358936434876438,0.20982703363536234,0.07842510003134234,11.747752939971374,2.8460145890774617,-1.02283304616695
CatBoost,422.42825197322793,111.98290846762784,933.2823360109851,337.16986078175734,0.925504974543885,0.048592611373970834,0.24306301766858412,0.12173431849979242,11.84252724379871,3.018949701666322,-2.546024616228683
LightGBM,479.0701306606983,207.50775810049228,1030.7066774881441,521.0037154751598,0.8994895224023006,0.1038545396811969,0.21611163500212588,0.06879080648113663,13.487372151099393,6.033651497777244,0.5127640655343935
Modelo base lag_7,610.6787241157965,106.47035531660778,1327.0093963499517,357.2640680321643,0.8559635993518506,0.06682780030572012,0.5517851995810658,0.34084538095428746,17.091130746469993,2.2137462853458247,0.002919392819112865
